text,Media,Link
"Gervane Kastaneer Cetak Gol Debut, Pelatih Persib: Dia Rekrutan Bagus",kompas.com,https://bola.kompas.com/read/2025/01/24/21421958/gervane-kastaneer-cetak-gol-debut-pelatih-persib-dia-rekrutan-bagus
Jadwal Timnas U20 Indonesia Usai Melawan Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/21352208/jadwal-timnas-u20-indonesia-usai-melawan-yordania
3 Wakil Tuan Rumah ke Semifinal Indonesia Masters 2025,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/21345338/3-wakil-tuan-rumah-ke-semifinal-indonesia-masters-2025
"Hasil Timnas U20 Indonesia Vs Yordania 0-1, Garuda Nusantara Jalani Proses",kompas.com,https://bola.kompas.com/read/2025/01/24/21245758/hasil-timnas-u20-indonesia-vs-yordania-0-1-garuda-nusantara-jalani-proses
"Skor Arema FC Vs Persib 1-3, Hodak Bicara Pentingnya Bangkit Usai Kekalahan",kompas.com,https://bola.kompas.com/read/2025/01/24/21003178/skor-arema-fc-vs-persib-1-3-hodak-bicara-pentingnya-bangkit-usai-kekalahan
"Hasil Indonesia Masters 2025, Fajar/Rian ke 4 Besar!",kompas.com,https://www.kompas.com/badminton/read/2025/01/24/20413728/hasil-indonesia-masters-2025-fajar-rian-ke-4-besar
"Skor Timnas U20 Indonesia vs Yordania 0-1, Garuda Nusantara Tertinggal pada Tengah Babak",kompas.com,https://bola.kompas.com/read/2025/01/24/20214668/skor-timnas-u20-indonesia-vs-yordania-0-1-garuda-nusantara-tertinggal-pada
Kemenangan Spesial Jonatan Christie di Indonesia Masters 2025,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/19544318/kemenangan-spesial-jonatan-christie-di-indonesia-masters-2025
"Dari Bintang Belanda ke Pelatih Garuda Muda, Ini Rekam Jejak Gerald Vanenburg",kompas.com,https://bola.kompas.com/read/2025/01/24/19333998/dari-bintang-belanda-ke-pelatih-garuda-muda-ini-rekam-jejak-gerald-vanenburg
EPA U18: Rekor Tak Terkalahkan Semen Padang-ASIOP Dihentikan PSM,kompas.com,https://bola.kompas.com/read/2025/01/24/19232368/epa-u18-rekor-tak-terkalahkan-semen-padang-asiop-dihentikan-psm
"Profil Gerald Vanenburg Pelatih Timnas U23 Indonesia, Pernah Disebut ""Johan Cruyff Baru""",kompas.com,https://bola.kompas.com/read/2025/01/24/19030188/profil-gerald-vanenburg-pelatih-timnas-u23-indonesia-pernah-disebut-johan-cruyff
"Djokovic Mundur, Jannik Sinner Tantang Alexander Zverev di Final Australian Open 2025",kompas.com,https://www.kompas.com/sports/read/2025/01/24/18570358/djokovic-mundur-jannik-sinner-tantang-alexander-zverev-di-final-australian
Kata Erick Thohir dan Patrick Kluivert soal Gerald Vanenburg,kompas.com,https://bola.kompas.com/read/2025/01/24/18325658/kata-erick-thohir-dan-patrick-kluivert-soal-gerald-vanenburg
Line Up Timnas U20 Indonesia Vs Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/18312488/line-up-timnas-u20-indonesia-vs-yordania
Hasil Indonesia Masters 2025: Jonatan Tembus Semifinal Usai Menangi Duel 3 Set,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/18110488/hasil-indonesia-masters-2025-jonatan-tembus-semifinal-usai-menangi-duel
Media Belanda Sebut Gerald Vanenburg Akan Bantu Kluivert Terapkan Filosofi,kompas.com,https://bola.kompas.com/read/2025/01/24/18015848/media-belanda-sebut-gerald-vanenburg-akan-bantu-kluivert-terapkan-filosofi
"Muncul 2 Pertanda Kuat, Alejandro Garnacho Semakin Dekat ke Chelsea?",kompas.com,https://bola.kompas.com/read/2025/01/24/17432948/muncul-2-pertanda-kuat-alejandro-garnacho-semakin-dekat-ke-chelsea
"AC Milan Bersih-Bersih Skuad, Sergio Conceicao Siap Lepas 4 Pemain",kompas.com,https://bola.kompas.com/read/2025/01/24/17332668/ac-milan-bersih-bersih-skuad-sergio-conceicao-siap-lepas-4-pemain
"Hasil Arema FC Vs Persib Bandung 1-3: Freekick Tyronne, Gol Debut Kastaneer, Maung Menang",kompas.com,https://bola.kompas.com/read/2025/01/24/17264718/hasil-arema-fc-vs-persib-bandung-1-3-freekick-tyronne-gol-debut-kastaneer-maung
Rio Ferdinand: Bukan Garnacho yang Ingin Pergi dari Manchester United,kompas.com,https://bola.kompas.com/read/2025/01/24/17240638/rio-ferdinand-bukan-garnacho-yang-ingin-pergi-dari-manchester-united
PSSI Umumkan Gerald Vanenburg Sebagai Pelatih Kepala Timnas U23,kompas.com,https://bola.kompas.com/read/2025/01/24/17225758/pssi-umumkan-gerald-vanenburg-sebagai-pelatih-kepala-timnas-u23
Sinner Vs Shelton: Mencari Lawan Zverev di Final Australian Open 2025,kompas.com,https://bola.kompas.com/read/2025/01/24/17105078/sinner-vs-shelton-mencari-lawan-zverev-di-final-australian-open-2025
"Ali Jasim Siap Tinggalkan Como, Bakal Jadi Rekan Thom Haye di Almere City",kompas.com,https://bola.kompas.com/read/2025/01/24/17000088/ali-jasim-siap-tinggalkan-como-bakal-jadi-rekan-thom-haye-di-almere-city
"Hasil Arema FC Vs Persib Bandung: 2 Gol Sundulan, Sama Kuat di Babak I",kompas.com,https://bola.kompas.com/read/2025/01/24/16194628/hasil-arema-fc-vs-persib-bandung-2-gol-sundulan-sama-kuat-di-babak-i
