text,Media,Link
Sudah Saatnya Bayindir Jadi Kiper Utama MU?,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748047/sudah-saatnya-bayindir-jadi-kiper-utama-mu
Pose Pesepakbola Palestina dengan Tropi di Reruntuhan Rumahnya,kompas.com,https://sport.detik.com/sepakbola/foto-sepakbola/d-7747699/pose-pesepakbola-palestina-dengan-tropi-di-reruntuhan-rumahnya
Van Nistelrooy Mau Mundur dari Leicester?,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748044/van-nistelrooy-mau-mundur-dari-leicester
Kejutan Bursa Transfer Musim Dingin Hingga Kisah Di Balik Jersey Timnas,kompas.com,https://sport.detik.com/sepakbola/bola-dunia/d-7748109/kejutan-bursa-transfer-musim-dingin-hingga-kisah-di-balik-jersey-timnas
MU Vs Rangers: Pujian Untuk Toby Collyer,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747902/mu-vs-rangers-pujian-untuk-toby-collyer
"Jika Gabung Milan, Walker Tak Bisa Langsung Main Gegara Brexit",kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7747904/jika-gabung-milan-walker-tak-bisa-langsung-main-gegara-brexit
Menpora: Pengambilan Sumpah Ole Romeny Dilakukan Bulan Ini,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747986/menpora-pengambilan-sumpah-ole-romeny-dilakukan-bulan-ini
Timnas Indonesia U-17 Persiapan di Yogya dan Luar Negeri Jelang Piala Asia,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747901/timnas-indonesia-u-17-persiapan-di-yogya-dan-luar-negeri-jelang-piala-asia
"Liga Europa: Kalahkan Rangers, MU Belum Lolos Otomatis ke Fase Gugur",kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747852/liga-europa-kalahkan-rangers-mu-belum-lolos-otomatis-ke-fase-gugur
"Usung Misi Bangkit di Markas Arema FC, Persib Tanpa 7 Pemain",kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747847/usung-misi-bangkit-di-markas-arema-fc-persib-tanpa-7-pemain
Video Amorim soal Match MU Vs Rangers: Kami Pantas Menang,kompas.com,https://20.detik.com/detikupdate/20250124-250124074/video-amorim-soal-match-mu-vs-rangers-kami-pantas-menang
Jersey Baru Timnas Diharapkan Bawa Keberuntungan Indonesia,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747817/jersey-baru-timnas-diharapkan-bawa-keberuntungan-indonesia
"Chelsea Rekrut Striker Muda Kazakhstan, Siapa Dia?",kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7747689/chelsea-rekrut-striker-muda-kazakhstan-siapa-dia
Man Utd Vs Rangers: Marcus Rashford Jadi Penonton di Tribun,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747682/man-utd-vs-rangers-marcus-rashford-jadi-penonton-di-tribun
Jadwal U-20 Challenge Series: Indonesia Vs Yordania Malam Ini,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747685/jadwal-u-20-challenge-series-indonesia-vs-yordania-malam-ini
"Video: Man City Dapatkan Marmoush, Pinjamkan Walker ke Milan",kompas.com,https://20.detik.com/detikupdate/20250124-250124080/video-man-city-dapatkan-marmoush-pinjamkan-walker-ke-milan
Jack Butland Eks Kiper MU Bikin Blunder di Old Trafford,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747626/jack-butland-eks-kiper-mu-bikin-blunder-di-old-trafford
